"","O.NET.SOC.Code","Title","Administration.and.Management","Biology","Building.and.Construction","Chemistry","Clerical","Communications.and.Media","Computers.and.Electronics","Customer.and.Personal.Service","Design","Economics.and.Accounting","Education.and.Training","Engineering.and.Technology","English.Language","Fine.Arts","Food.Production","Foreign.Language","Geography","History.and.Archeology","Law.and.Government","Mathematics","Mechanical","Medicine.and.Dentistry","Personnel.and.Human.Resources","Philosophy.and.Theology","Physics","Production.and.Processing","Psychology","Public.Safety.and.Security","Sales.and.Marketing","Sociology.and.Anthropology","Telecommunications","Therapy.and.Counseling","Transportation"
"89","13-2031.00","Budget Analysts",4.83,0.29,0.5,0.25,4.71,2.6,4.21,4.08,0.93,5.61,3.63,0.87,4.24,0.18,0.4,0.11,0.84,0.38,3.37,5.03,0.39,0.43,3.43,0.55,0.23,1.48,1.68,1.6,1.38,1.16,1.23,0.72,0.82
"90","13-2041.00","Credit Analysts",2.77,0.55,0.77,0.6,4.2,2.17,2.8,3.86,0.4,4.03,2,0.63,3.8,0.23,0.83,0.7,1.72,0.93,3.21,4.3,0.67,0.53,1.07,1.07,0.47,1.53,1.79,0.73,2.17,1.46,0.73,0.7,1.1
"91","13-2051.00","Financial Analysts",4.39,0.19,0.12,0.32,4.27,2.48,4.13,4.26,0.58,5.53,4.28,0.62,4.93,0.5,0,1.62,0.81,1.35,4.04,5.22,0.07,0.17,1.93,1.53,0.14,0.79,1.71,1.3,1.82,1.49,0.9,0.39,0.98
"92","13-2052.00","Personal Financial Advisors",4.43,0,0.14,0,4.39,2.5,4.14,5.14,1.43,4.82,4.25,0.71,4.21,0.5,0,0.82,1.33,1.71,3.79,4.71,0.32,0.36,3.54,2.43,0.25,2.39,3.81,1.39,4.71,2.33,1.44,2.93,0.43
"93","13-2053.00","Insurance Underwriters",3.4,2.23,0.08,0.04,4,1.62,3.38,4.23,0.54,2.96,3.88,0.38,4.12,0,0,0.88,2,0.19,2.73,4.12,0,4.12,2.15,0.62,0,1.81,3.12,0.5,3,1.58,0.77,2.42,0.42
"94","13-2061.00","Financial Examiners",4.44,0.12,0.36,0,3.6,2.08,3.52,3.6,0.32,5,3.4,0.6,4.68,0,0.12,0.44,1.36,0.64,3.83,4.36,0.12,0,1.88,0.56,0,0.96,1.28,1.56,1.32,0.92,1.08,0.36,1.52
"95","13-2071.00","Credit Counselors",2.7,0.06,0.06,0,4.26,2.25,3.12,5.26,0.12,2.74,3.81,0.16,3.91,0.12,0.16,1.09,0.28,0.41,2.66,3.25,0.19,0.16,1.5,1.72,0.06,0.84,3.03,0.88,2.87,2.41,0.88,3.56,0.68
"96","13-2071.01","Loan Counselors",4.84,0,0.72,0.02,5.11,0.8,1.88,5.81,0.75,4.93,4.07,0.04,4.35,2.5,0,0.24,0.04,0,4.7,4.4,0.01,0,2.87,0.77,0,2.64,3.76,2.8,3.4,1.07,0.23,0.66,0.83
"97","13-2072.00","Loan Officers",3.44,0,0.85,0.08,4.05,2.15,3.8,5.47,0.67,3.96,3.09,0.56,4.25,0.13,0.07,1.25,1.19,0.69,3.91,4.42,0.32,0.03,2.83,0.81,0.08,1.7,2.33,1.01,4.43,1,0.86,1.06,0.64
"98","13-2081.00","Tax Examiners and Collectors, and Revenue Agents",3.7,0.21,0.4,0.21,4.75,2.15,3.92,5.89,0.5,5,3.37,0.57,4.3,0.23,0.14,0.99,1.08,0.48,4.31,4.3,0.72,0.19,2.33,1.06,0.22,2.01,2.48,2.22,1.63,1.18,1.21,0.5,1.26
"99","13-2082.00","Tax Preparers",3.05,0.79,0.65,0.8,3.6,1.84,3.95,4.39,0.75,3.7,2.63,1.25,3.63,0.45,0.56,1,1.47,0.9,3.26,4.25,0.95,0.68,1.89,1.2,0.85,2.22,1.68,1.26,2.05,1.37,0.95,1.37,0.8
"100","13-2099.02","Risk Management Specialists",4.51,0.34,1.11,0.52,3.3,2.52,4.38,4.07,1.79,4.87,3.7,2.37,4.43,0.11,0.09,0.72,2.11,0.96,3.84,5.2,0.87,0.66,3.36,0.72,1.17,2.79,2.19,2.31,2.87,1.52,1.32,0.52,1.38
"101","13-2099.04","Fraud Examiners, Investigators and Analysts",4.25,0.84,1.59,1.12,3.94,3.16,4.09,4.44,1.5,3.97,4.31,1.56,4.69,0.5,0.62,1.41,2.2,1.19,4.78,4.44,1.16,1.12,3.69,2.56,0.94,2.31,4.26,3.81,2.34,2.94,2.19,2.31,1.72
"102","15-1111.00","Computer and Information Research Scientists",4.12,1.51,0.16,1.98,3.54,3.35,6.6,3.98,4.02,1.37,5.47,4.32,4.95,0.46,0,0.24,2.97,1.75,2.49,5.43,2.24,1.1,3.21,1.75,3.48,1.94,2.53,2.13,3.13,1.98,4,1.26,1.03
"103","15-1121.00","Computer Systems Analysts",3.34,0.21,0.43,0.5,3.93,2.52,5.79,4.09,2.86,1.65,3.6,3.61,4.54,0.17,0,0.18,0.65,0.18,2.17,4.42,1.39,0.09,1.81,0.42,1.56,2.32,1.4,1.93,1.34,0.97,2.45,0.08,0.79
"104","15-1121.01","Informatics Nurse Specialists",4.6,2.7,0.74,0.89,4.35,3.2,5,5.47,3.8,2.7,5.6,3.11,4.65,0.5,0.32,1,1.15,0.8,3.2,4.05,1,4.2,3.6,1.45,0.79,2.79,3.7,2.55,3.2,3,2,2.25,1.05
"105","15-1122.00","Information Security Analysts",4.08,0.14,1.89,1.28,3.37,2.61,6.39,3.51,3.17,1.88,4.89,4.35,3.76,0.43,0.17,0.37,1.3,0.81,3.24,3.83,1.75,0.4,3.3,0.92,1.21,3.24,1.82,3.59,1.99,1.6,4.86,0.83,0.95
"106","15-1131.00","Computer Programmers",3.71,0.02,0.03,0.03,2.28,2.49,6.75,3.22,2.95,1.38,2.58,2.35,4.05,0,0.21,0.22,0.87,0.1,0.62,4.66,0.16,0,1.23,0.03,0.54,0.81,0.91,1.61,0.83,0.2,1.71,0.13,1.46
"107","15-1132.00","Software Developers, Applications",2.55,0.16,0,0.23,1.7,1.73,6.68,2.76,2.97,1.28,3.17,3.83,4.06,0.05,0,1.36,0.45,0.02,1.72,5.16,0.96,0.35,1.14,0.16,1.71,1.23,0.5,0.87,1.21,0.16,1.75,0,0.27
"108","15-1133.00","Software Developers, Systems Software",3.18,0.27,0.4,1.59,3.06,2.99,6.55,3.51,4.35,1.96,3.21,4.91,3.87,0.4,0,0.56,2.25,0.35,2.34,5.22,1.21,0.22,1.88,0.92,3.09,1.32,1.83,2.58,2.45,1.21,4.31,0.44,0.31
"109","15-1134.00","Web Developers",3.47,0.13,0.62,0.23,3.93,3.43,5.69,3.9,3.76,1.93,4.03,2.59,4.45,1.9,0.31,1.03,1.1,0.31,2.14,3.97,0.97,0,2.28,0.34,0.67,2,2.47,0.97,3.39,1.83,2.55,0.21,0.62
"110","15-1141.00","Database Administrators",2.47,0.05,0.64,0.34,4.23,3.23,6.05,4.72,2.7,2.6,3.12,3.2,3.77,0.28,0.12,0.15,0.92,0.56,1.46,4.29,0.79,0.35,2.26,0.58,0.51,1.46,1.17,1.6,2.08,0.95,2.92,0.4,0.16
"111","15-1142.00","Network and Computer Systems Administrators",3.88,0.12,0.27,0.28,3.96,1.47,5.68,2.18,1.5,0.63,3.39,2.55,3.5,0.11,0,0.22,0.55,0.09,1.36,2.96,1.13,0.08,1.08,0.18,0.79,0.92,1.12,2,0.97,0.38,4.71,0.02,0.36
"112","15-1143.00","Computer Network Architects",3.57,0.08,1.26,0.48,3.44,2.9,5.75,4.09,3.81,2.09,3.95,3.93,3.9,0.2,0.04,0.34,0.85,0.16,2.18,3.83,2.19,0.04,2.32,0.41,1.66,2.47,1.45,2.55,1.97,0.63,5.14,0.46,0.95
"113","15-1143.01","Telecommunications Engineering Specialists",4.3,0.43,2.96,1.09,4.27,2.87,4.91,5.13,4.09,2.65,3.22,4.3,3.91,0.04,0.3,0.83,1.57,0.3,2.87,4.52,2.61,0.3,2.61,0.26,3.09,2.48,1.91,3,3.7,0.87,6.04,0.57,1.52
"114","15-1151.00","Computer User Support Specialists",3.09,0.1,0.63,0.81,4.45,2.82,5.98,5.29,2.63,1.4,3.66,3.72,4.22,0.2,0.12,0.56,0.9,0.46,1.79,3.08,2.37,0.32,1.59,0.65,1.04,2.17,2.18,2.29,1.17,1.37,3.78,0.58,1.57
"115","15-1152.00","Computer Network Support Specialists",3.72,0,1.45,0.45,3.71,3.45,6.58,3.78,3.09,1.03,3.42,4.12,3.35,0.09,0,0.52,0.95,0.23,1.45,3.08,2.23,0.01,1.93,0.1,0.49,2.68,1.36,2.38,0.54,0.48,4.69,0.34,0.24
"116","15-1199.01","Software Quality Assurance Engineers and Testers",3.14,0.36,0.14,0.45,3.5,2.09,5.45,3.5,3.55,1.32,3.5,4.23,4.32,0.05,0.09,0.36,0.5,0.45,2.09,4,0.95,0.36,2.05,1,1.05,2.09,2.05,1.86,1.09,1.05,1.91,0.41,0.45
"117","15-1199.02","Computer Systems Engineers/Architects",3.74,0.26,0.7,1.26,3.22,2.35,6.3,3.96,4.22,2.17,3.74,5.13,4.22,0.09,0,0.65,0.78,0.17,2.3,4.87,0.91,0,2.87,0.26,2.39,2.17,2.13,2.13,3.35,0.96,4.39,0.3,0.74
"118","15-1199.03","Web Administrators",4.04,0.09,0.57,0.26,4.5,3.91,5.74,4.09,3.96,1.74,3.87,3.74,4.43,1.57,0.04,1,1.87,0.65,2.87,4.04,1.26,0.09,2.43,1.04,0.26,1.78,2.57,1.74,3.83,2.26,3.7,0.43,0.78
"119","15-1199.04","Geospatial Information Scientists and Technologists",3.82,2.04,1,1.18,3.5,3.32,5.43,5.07,4.04,2.04,4.86,4.11,4.43,1.32,0.11,0.75,6.5,1.86,3.04,4.86,1.29,0.46,3,0.79,2.11,3.14,1.68,2.36,3.07,2.29,2.5,0.43,2.64
"120","15-1199.05","Geographic Information Systems Technicians",3.52,2.51,1.2,2.29,3.27,1.73,5.56,3.72,4.38,1.43,3.49,3.88,4.29,0.84,0.29,0.04,6.29,2.21,2.81,4.68,2.52,0,1.03,0.05,2.7,1.22,1.26,2.66,1.76,1.44,1.27,0.06,1.81
"121","15-1199.06","Database Architects",3.26,0.33,0.46,0.21,2.38,2.26,6.29,2.75,4.62,2.04,3.58,4.21,4.57,0,0,0.29,1.26,0.29,2.12,4.96,0.79,0.17,2.04,0.54,0.79,1.67,1.33,1.62,1.21,0.71,2.75,0.58,0.88
"122","15-1199.08","Business Intelligence Analysts",4.42,0.88,0.33,1.17,3.62,3.5,3.83,3.12,1.08,3,3.71,2.29,4.42,0.25,0.5,2,3.08,1.58,2.88,4.29,0.75,0.33,2.75,1.74,0.71,1.75,2.75,1.21,5.26,2.33,1.79,0.25,1.17
"123","15-1199.09","Information Technology Project Managers",4.61,0.5,1.35,0.74,3.65,3.03,5,4.61,3.48,3.35,3.94,3.48,4.19,0.43,0.1,1.61,1.81,0.77,3.16,4.42,1.52,0.19,4.03,1.65,1.29,2.77,3.16,2.17,3,2.48,3.03,1.45,1.42
"124","15-1199.10","Search Marketing Strategists",3.82,0,0,0,4.3,4.22,5,4.55,1.86,2.52,3.48,1.61,4.83,0.3,0,0.96,1.65,0,1.57,4.35,0.35,0.09,2.39,0.36,0.13,1.26,2.09,0.09,5.65,1.74,1.74,0.13,0.17
"125","15-1199.11","Video Game Designers",3.43,0.57,0.57,0.38,3.24,4.67,5.48,1.67,5.57,0.86,3.24,3.05,4.3,3.48,0,0.38,2.62,2.1,1.19,4.33,0.67,0.29,2.57,2,2.71,1.62,3.52,0.38,2.76,3.19,1.71,0.14,0.38
"126","15-1199.12","Document Management Specialists",4.4,0.2,0.24,0.52,4.4,2.84,5,4.44,2.84,2.48,4.21,2.92,4.21,0.12,0.12,0.96,0.8,0.72,2.64,3.64,1.48,0.21,3.56,0.64,0.48,3.08,1.96,2.12,3.36,0.92,2.2,0.25,0.92
"127","15-2011.00","Actuaries",4.58,0.42,0.42,0.09,2.58,2.52,5.15,3.09,1.39,5.3,3.39,1.06,4.27,0,0,0.18,2,0.61,3.67,6.76,0.18,1.06,3.73,0.42,0.73,1.15,2,1.03,3.48,1.58,0.64,0.61,0.79
"128","15-2021.00","Mathematicians",3.5,2.21,0.62,2.62,1.92,2.92,5.67,3,2.83,2.46,4.25,4.71,4.75,0.33,0.33,2.04,1.62,0.92,1.92,6.79,0.79,0.58,2.33,1.46,4.5,1.46,1.67,1.46,1.46,1.29,2.25,0.25,1.29
"129","15-2031.00","Operations Research Analysts",3.85,0.93,0.48,0.85,1.56,1.85,5.26,2.93,3.07,3.22,3.52,4.15,3.96,0.04,0.37,1,2.26,0.52,1.37,6.52,0.63,0.3,2.04,0.48,1.89,3.85,2.04,1.26,2.56,1.48,1.63,0.15,2.88
"130","15-2041.00","Statisticians",3.32,1.68,0,1,2.96,1.44,5,2.67,1,1.2,3.72,1.6,4.48,0.04,0.12,0.6,1.44,0.2,1.16,6.21,0.36,0.36,2,0.24,1.52,1.52,1.44,0.84,0.84,0.64,0.84,0.04,0.28
"131","15-2041.01","Biostatisticians",3.56,3.76,0.16,1.4,1.92,2.84,5.28,2.44,1.32,0.8,4.44,1.24,4.68,0.16,0.44,0.36,1.44,0.36,2.08,6.6,0.16,3.2,2.24,0.56,1.04,0.72,2.64,0.76,1.28,1.4,1.12,0.96,0.6
"132","15-2041.02","Clinical Data Managers",3.86,2.45,0,1.14,3.86,1.41,3.91,3.05,0.64,0.45,2.77,0.55,3.64,0,0,0.27,1,0.14,2.18,3,0.18,2.73,2.05,0.09,0.09,1.05,1.45,0.73,0.86,0.86,0.68,0.68,0.41
"133","15-2091.00","Mathematical Technicians",2.16,0,0,1,2.66,2,4.33,0,0.33,1.33,1.33,3.16,3.83,0,0,0.16,0.16,0,1,5.66,0.5,0,0.16,0.16,2.16,1,0.83,0.16,0,0.16,1,0,0.66
"134","17-1011.00","Architects, Except Landscape and Naval",4.74,1.59,5.74,2.22,4.31,2.89,4.26,5.11,6.3,3.78,3.74,5.07,4.33,3.93,0.52,1.41,4.41,3.3,4.15,4.33,3.48,1,4,2.7,3.3,3.07,3.56,4.15,4.46,3.11,2.04,1.41,3
"135","17-1012.00","Landscape Architects",4.46,3.89,4.74,2.5,4.43,3,4.22,4.89,5.96,2.89,3.71,4.5,4.68,3.18,0.61,1.32,4.32,3.25,3.63,4.11,2.36,0.39,3.68,1.93,3.21,3.21,3.14,3.85,4.19,2.89,1.41,0.89,3
"136","17-1021.00","Cartographers and Photogrammetrists",2.41,1.27,0.81,0.36,2.39,1.94,4.6,3.07,3.47,0.86,2.93,2.23,3.3,0.44,0.13,0.5,5.63,1.11,1.64,3.72,0.83,0.02,1.28,0.09,0.89,2.38,0.68,1.28,1.47,0.74,0.6,0.16,1.41
"137","17-1022.00","Surveyors",4.64,2,4.45,1.91,4.36,2.48,4.91,4.33,5.12,2.94,4.76,4.67,4.12,0.12,0.33,0.33,5.58,3.67,4.67,5.73,2.73,0.85,4,0.76,2.88,1.85,2.3,3.18,3.39,0.85,2.42,0.7,2
"138","17-1022.01","Geodetic Surveyors",3.88,1,2.42,2,3.62,2.46,4.96,3,3.67,1.88,4.17,4.46,4.09,0.38,0.17,1.75,5.3,2,3.33,5.79,3,0.57,3.54,0.38,4.17,2.62,1.74,2.88,1.83,0.83,2.54,0.52,2.88
"139","17-2011.00","Aerospace Engineers",2.94,0.46,2.2,2.3,3.05,1.81,4.62,3.16,5.41,1.55,2.66,6.1,4.35,0.25,0,1.16,0.76,0.22,1.72,5.57,4.48,0,2.21,0.21,4.84,4.02,0.71,2.09,1.26,0.68,1.56,0.04,2.83
"140","17-2021.00","Agricultural Engineers",4.17,4,4.83,4.46,2.58,2.83,4.96,4.71,6.08,3.29,3.96,6.46,4.21,0.38,4.12,1.92,4.29,1.92,3.92,5.79,5.12,0.83,3.33,0.92,5.58,4.21,2.33,3.75,3.88,1.5,1.96,0.71,3
"141","17-2031.00","Biomedical Engineers",3.3,6,1.15,5.05,2.53,2.32,5.37,2.74,5.42,2.26,4,6.11,4.89,0,0.55,1.63,1.42,0.68,2.58,5.74,4.11,4.47,2.53,0.89,5.16,3.53,2.47,1.95,2.79,1.25,2.21,1.16,1.53
"142","17-2041.00","Chemical Engineers",4.56,4.12,2.72,5.88,3.08,2.6,4.56,3.64,5.2,3.16,4.46,6.56,4.17,0.48,1.84,1.64,2.76,0.76,3.32,5.76,4.48,1.25,3.24,1.2,5.36,5,2.4,3.64,3.24,1.84,1.84,1.25,2.88
"143","17-2051.00","Civil Engineers",5.05,1.39,5.87,3.48,3.32,2.77,4.22,4.52,5.7,3.82,4.18,6.3,4.95,0.43,0,1,2.91,1.35,4.18,5.22,3.52,0.23,3.74,1.09,4.61,2.26,2.87,3.91,3.59,1.48,1.73,0.55,3.17
"144","17-2051.01","Transportation Engineers",4.46,0.62,4.83,2.08,3.42,2.54,4.58,4.42,6.12,2.88,4,6.46,4.21,0.17,0,0.5,3.92,1.58,4.12,5.38,1.83,0,3.67,0.38,4.38,1.58,2.08,4.17,3.62,2.04,2.33,0.42,5.42
"145","17-2061.00","Computer Hardware Engineers",2.86,0.45,0.81,2.86,2.29,1.73,6.57,1.95,6.05,1.18,3.14,6.35,3.57,0.09,0,1.41,0.91,0.14,2.09,6.05,2.95,0.36,2.27,0.64,5.19,3.32,0.82,1.55,1.82,0.23,3.48,0.41,1
"146","17-2071.00","Electrical Engineers",3.35,0.57,2.16,2.68,3.57,2.01,5.32,3.45,5.17,1.79,3.97,5.9,3.96,0.1,0.18,0.72,1.82,0.64,2.02,4.98,3.82,0.38,2.18,0.76,4.05,3.28,1.56,2.13,1.79,0.64,1.72,0.33,1.23
"147","17-2072.00","Electronics Engineers, Except Computer",3.22,0.89,1.58,2.8,3.38,2.39,6.39,4.18,4.94,1.82,3.42,5.7,4.17,0.44,0.78,1.46,2.01,0.87,2.2,5.19,4.78,0.75,2.22,1.37,5.02,3.92,1.36,2.87,1.77,1.19,4.05,0.76,1.83
"148","17-2072.01","Radio Frequency Identification Device Specialists",4.19,0.59,1.74,1.38,3.64,3.43,6.16,4.68,4.73,1.73,4.44,5.36,4.02,0.17,0.37,0.88,2.19,0.17,1.8,4.32,1.89,0.48,2.25,0.75,3.27,3.72,1.63,2.01,3.71,0.84,3.85,0.68,2.13
"149","17-2081.00","Environmental Engineers",4.07,4.74,4.48,5.26,3.56,3.46,3.78,4.81,5.33,3.15,4.88,5.96,4.85,0.59,1.07,1.63,4.93,1.44,4.4,5.37,4.44,1.58,3.89,1.22,5,2.85,2.52,4.54,3.89,2,1.92,1.15,2.7
"150","17-2081.01","Water/Wastewater Engineers",4.46,5.07,5.11,4.61,3.57,2.56,4.43,5.18,6.14,3.14,4.25,6.57,4.61,0.07,0.72,1.18,3.86,1.29,3.96,5.39,4.29,0.86,3.64,0.76,4.89,2.71,2.71,3.89,4.25,1.54,1.7,0.93,2.31
"151","17-2111.01","Industrial Safety and Health Engineers",4.41,4.45,3.77,5.23,3.95,3.23,4.41,4.36,4.77,2.86,5.27,5.23,4.55,0.48,2.14,1.86,2.32,1.86,4.09,4.77,4.55,2.64,3.91,1.64,4.77,4.09,3.95,4.68,3.41,3.36,1.86,2.45,2.36
"152","17-2111.02","Fire-Prevention and Protection Engineers",4.14,1.48,5.24,4.29,3.28,2.52,4.14,4.64,5.69,2.45,3.69,5.97,3.93,0.28,0.48,1.38,1.38,1.48,3.31,4.96,4.32,0.31,3.17,0.69,4.61,1.93,2.59,4.07,3.66,1.76,1.76,0.48,1.48
"153","17-2111.03","Product Safety Engineers",3.59,2.52,2.52,3.79,3.21,2.83,3.66,3.93,4.59,2.07,4.24,5.17,4.31,0.14,0.52,0.76,1.66,0.9,3.86,4.48,4.69,1.76,2.38,1.28,4.21,3.31,3.41,4.1,2.83,2.14,1.24,0.66,2.31
"154","17-2112.00","Industrial Engineers",3.86,0.73,2.08,3.19,3.39,1.97,3.88,3.85,4.79,1.89,4.39,5.11,4,0.07,0.06,0.27,1.27,0.22,1.76,4.69,4.91,0.36,2.24,1.04,3.27,4.97,2.15,2.42,2.31,1.29,1.33,0.48,2.15
"155","17-2112.01","Human Factors Engineers and Ergonomists",4.12,2.62,1.5,1.87,3.12,2.42,4.46,3,4.42,1.42,5.29,5.17,5.17,0.5,0.17,0.92,0.38,0.42,3,5,3.33,2.04,2.67,1.33,3.04,2.71,5.42,3.88,2.62,4.71,1.83,0.83,2.42
"156","17-2121.01","Marine Engineers",4.29,1.4,4.01,2.76,4.27,2.45,4.88,4.31,5.53,3.23,3.07,5.75,4.07,0,0,1.05,2.59,0.93,2.79,5,5.5,0.63,3.64,0.18,4.69,3.8,2.32,2.97,3.33,0.88,2.7,0.85,3.35
"157","17-2121.02","Marine Architects",4.27,1.11,4.23,3.3,2.74,2.27,5.09,4.02,5.81,2.4,3.08,6.31,4.22,0.37,0.19,1.09,2.26,0.55,2.81,5.7,3.83,0.61,3.32,0.6,5.49,2.84,1.72,2.38,3.65,0.61,1.3,0.51,3.8
"158","17-2131.00","Materials Engineers",4.08,2.44,2.59,5.77,2.86,2.56,4.9,3.54,4.69,2.42,3.95,6.08,4.45,0.53,0.74,1.61,1.33,1.03,2.87,5.46,4.59,1.66,2.9,0.79,5.49,4.95,1.59,2.64,3.03,0.77,1.87,0.53,2.28
"159","17-2141.00","Mechanical Engineers",4.02,1.43,2.51,3.9,3.54,1.76,4.69,3.34,5.87,1.76,3.58,6.08,3.97,0.17,0.12,0.2,1.46,0.35,2.27,5.51,5.46,1.61,2.42,0.13,5.08,3.43,0.54,2.45,2.28,0.38,2.58,0.35,1.93
"160","17-2141.01","Fuel Cell Engineers",3.17,0.38,1.38,5.48,2.29,1.54,4.96,1.92,5.29,1.96,3.75,6.42,4.08,0,0.08,1.29,0.62,0.12,2.29,5.75,4.54,0.38,2.21,0.17,5.62,3.42,1,2.96,1.75,0.21,1,0.38,2.25
"161","17-2141.02","Automotive Engineers",4.35,1.26,1.3,4.17,3.04,2.5,4.7,4.39,5.96,2.87,3.83,6.39,4.26,0.3,0,2.04,2.61,0.74,2.78,5.87,5.26,0.35,3.57,0.87,5.61,4.35,2.61,2.22,3.65,2,2.48,0.74,3.78
"162","17-2151.00","Mining and Geological Engineers, Including Mining Safety Engineers",4.09,2.44,3.71,4.09,3.73,2.31,3.92,3.09,5.2,2.64,2.83,5.8,4.01,0.23,0,0.53,4.08,0.85,4.04,5.07,3.66,1,2.93,0.56,4.17,4.1,2.29,3.96,1.94,1.39,1.63,0.49,3.3
"163","17-2161.00","Nuclear Engineers",4.45,2.55,3.32,5.09,2.59,2.23,5.29,2.86,5.55,2.59,4.73,6.68,4.55,0,0.09,1.27,1.64,0.73,3.68,5.95,4.73,0.36,3.52,0.27,5.95,3,2.59,4.59,2.91,1.36,1.95,0.45,2.45
"164","17-2171.00","Petroleum Engineers",4.37,1.34,2,4.15,3.04,1.89,4.55,1.65,3.92,3.66,3.03,6,3.74,0.04,0,0.7,3.86,1.29,2.89,5.16,3.69,0.39,3.39,1.47,4.84,2.5,2.06,2.63,2.51,0.95,1.63,0.77,1.91
"165","17-2199.01","Biochemical Engineers",3.81,5.86,2.24,5.57,2,1.95,4.14,1.71,4.19,1.95,3.48,5.76,4.19,0.29,1.71,1.19,1.38,0.33,2.76,5.52,3.38,2.19,2.76,0.76,4.81,4.52,1.62,2.71,1.86,0.9,1.29,0.76,1.24
"166","17-2199.02","Validation Engineers",3.66,1.97,2,3.83,4.21,2.14,4.38,3.66,4.21,1.48,4.31,4.9,4.45,0.38,0.93,1.41,1.1,0.72,2.79,4.93,3.97,0.72,2.62,0.62,3.48,4.28,2.69,3.07,1.38,1.76,1.34,0.38,1.52
"167","17-2199.03","Energy Engineers",3.96,2.04,4.65,3.38,3.46,2.54,4.08,3.88,4.88,3.58,3.81,5.77,4.19,0.69,0.96,0.85,2.62,0.85,3.38,4.81,4.19,0.69,2.62,1.04,4.62,2.88,2.27,3.23,3.62,1.19,2.12,0.32,2.46
"168","17-2199.04","Manufacturing Engineers",4.29,1.57,2.86,4.33,3.38,2.52,5,3.52,5.48,3.57,4.57,5.86,4.19,0.29,1.1,1.1,2.14,1,2.62,5.14,5.38,0.62,3.33,1.1,4.95,5.38,2.52,3.33,3.19,1.62,2,1.05,2.67
"169","17-2199.05","Mechatronics Engineers",3.61,0.79,2.32,3.49,2.83,1.66,5.29,2.46,5.87,2.1,2.57,6.17,3.92,0.03,0.44,0.35,1.02,0.65,1.93,5.13,5.26,0.38,2.7,0.99,4.67,4.75,2.25,1.81,2.34,0.44,1.77,0.53,2.1
"170","17-2199.07","Photonics Engineers",3.79,1.92,1.33,3.62,2.38,1.67,5.25,2.5,5.79,1.35,2.58,6.42,3.71,0.08,0.08,1,1,0.67,1.75,5.92,4.5,0.58,2.88,0.42,6,3.92,0.67,2.04,2.71,0.38,3.42,0.46,1
"171","17-2199.08","Robotics Engineers",4.15,1.2,2.65,3.2,3.3,2.3,5.8,4.1,5.45,2.95,4.53,5.8,3.85,0.35,1.7,2,1.4,0.7,2.55,5.2,5.3,0.9,3.25,0.3,5,4.65,1.85,3.45,3.3,1.2,3.55,0.68,2.15
"172","17-2199.09","Nanosystems Engineers",3.88,3.96,1.52,5.42,2.5,2,4.91,2.29,4.65,2,4.04,6,4.17,0.42,0.29,1.17,1.25,0.5,2.21,5.79,4.08,2.08,2.67,0.46,5.62,4.17,1.75,2.75,2.29,1.17,2.54,0.62,0.71
"173","17-2199.10","Wind Energy Engineers",4.41,1.59,4.16,2.8,4.03,2.54,5.09,4.37,5.73,3.11,4.13,6.32,4.57,0.11,0.05,1.51,3.92,1.02,3.05,5.52,4.16,0.75,2.96,1.13,5.07,3.44,1.95,3.45,3.23,1.43,2.59,1.08,2.71
"174","17-2199.11","Solar Energy Systems Engineers",3.95,0.59,4.52,2.55,2.91,2.27,3.86,3.5,4.82,2.55,3.77,5,3.59,0.05,0,0.64,1.95,0.14,3.14,4.45,3.86,0.33,2.18,0.41,4,1.95,1.23,2.59,3.64,0.82,2.29,0.23,1.41
"175","17-3011.01","Architectural Drafters",2.24,0.29,5.67,0.94,2.98,1.69,4.71,3.36,6.33,0.41,3.95,4.94,4.3,2.21,0.35,1.12,2.75,2.37,3.67,3.84,2.18,0.14,0.64,1.53,2.79,3.08,1.42,3.11,1.98,2.33,1.05,0.09,1.54
"176","17-3011.02","Civil Drafters",2.29,1.14,3.86,1.95,3.62,2.48,4.24,3.43,5.76,1.24,3,4.86,4.38,0.24,0.67,0.71,3.86,1.05,2.38,4.76,2.33,0.33,1.76,0.76,2.81,2.57,1.71,2.52,1.29,0.86,1.52,0.67,1.9
"177","17-3012.01","Electronic Drafters",1.46,0.01,0.67,1.54,3.84,1.7,4.72,2.62,4.58,0.59,2.9,4.91,3.78,0.57,0.2,0.22,0.32,0.03,0.94,4.12,1.88,0.06,0.5,0.04,1.75,2.65,0.81,1.01,1.28,0.28,1.4,0.15,0.38
"178","17-3012.02","Electrical Drafters",3.38,1.31,2.81,1.12,4.24,1.71,5.02,3.26,5.44,1.24,3.81,5.25,4.2,0.76,0.63,1.01,3.9,0.89,2.55,4.5,2.92,0.51,2.43,0.59,2.8,2.25,1.2,3.46,1.2,0.54,1.89,0.63,1.73
"179","17-3013.00","Mechanical Drafters",2.89,0.16,1.57,1.44,3.1,1.2,3.94,2.75,5.96,1.04,2.56,5.32,3.5,0.12,0.3,1.15,0.56,0.19,0.83,4.35,4.12,0.23,1.54,0.64,3.19,3.16,0.99,1.5,1.51,0.33,0.89,0.35,0.98
